ID	DEFAULT	DUTCH	SPANISH
@ADD_FLOOR	Add Floor	NL Add Floor	Add Floor
@ENTER_FLOOR_NAME	Enter name for new floor below.	NL Enter name for new floor below.	Enter name for new floor below.
@CREATE	Create	NL Create	Create
@CANCEL	Cancel	NL Cancel	Cancel
@CLOSE	Close	NL Close	Close
@START	Start	NL Start	Start
@DONT_SHOW_NEXT_TIME	Don't show next time	NL Don't show next time	Don't show next time
@SIGN_IN	Sign In	NL Sign In	Sign In
@NEW	New	NL New	New
@OPEN	Open	NL Open	Open
@SAVE	Save	NL Save	Save
@SETTINGS	Settings	NL Settings	Settings
@EXIT	Exit	NL Exit	Exit
@NEW_PROJECT	New Project	NL New Project	New Project
@ENTER_PROECT_NAME	Enter name for new project below.	NL Enter name for new project below.	Enter name for new project below.
@OBJECT_EDITOR	Object Editor	NL Object Editor	Object Editor
@NAME	Name	NL Name	Name
@TYPE	Type	NL Type	Type
@IMAGE	Image	NL Image	Image
@WIDTH	Width	NL Width	Width
@HEIGHT	Height	NL Height	Height
@DEPTH	Depth	NL Depth	Depth
@ELEVATION	Elevation	NL Elevation	Elevation
@ROTATION	Rotation	NL Rotation	Rotation
@MAINTAIN_ASPECT_RATIO	Maintain aspect ratio	NL Maintain aspect ratio	Maintain aspect ratio
@CHANGES_WILL_BE_LOST	Your changes will be lost	Your changes will be lost	Your changes will be lost
@COMFIRMATION_CONTINUE	Are you sure you want to continue?	NL Are you sure you want to continue?	Are you sure you want to continue?
@YES	Yes	NL Yes	Yes
@NO	No	NL No	No
@REMOVE_FLOOR	Remove Floor	Remove Floor	Remove Floor
@GENERAL	General	NL General	General
@LANGUAGE	Language	NL Language	Language
@MEASUREMENT_UNITS	Measurement Units	NL Measurement Units	Measurement Units
@METER	METER	NL METER	METER
@CENTIMETER	CENTIMETER	NL CENTIMETER	CENTIMETER
@YARD	YARD	NL YARD	YARD
@FEET	FEET	NL FEET	FEET
@INCHES	INCHES	NL INCHES	INCHES
@LOG_LEVEL	Log Level	NL Log Level	Log Level
@CRASH	CRASH	NL CRASH	CRASH
@WARNING	WARNING	NL WARNING	WARNING
@INFO	INFO	NL INFO	INFO
@WORKSPACE	Workspace	NL Workspace	Workspace
@PATH	Path	NL Path	Path
@AUTOSAVE	Auto-Save	NL Auto-Save	Auto-Save
@ENABLE	Enable	NL Enable	Enable
@INTERVAL_MINUTES	Interval(minutes)	NL Interval(minutes)	Interval(minutes)
@1_MINUTE	1 MINUTE	NL 1 MINUTE	1 MINUTE
@3_MINUTES	3 MINUTES	NL 3 MINUTES	3 MINUTES
@5_MINUTES	5 MINUTES	NL 5 MINUTES	5 MINUTES
@10_MINUTES	10 MINUTES	NL 10 MINUTES	10 MINUTES
@FTUETEXT1	"In the editor section you can plan rooms, add items, design interior, wall art and its material. You are able to work in 2D and 3D modes and to generate and photorealistic view after."	"NL In the editor section you can plan rooms, add items, design interior, wall art and its material. You are able to work in 2D and 3D modes and to generate and photorealistic view after."	"In the editor section you can plan rooms, add items, design interior, wall art and its material. You are able to work in 2D and 3D modes and to generate and photorealistic view after."
@FTUETEXT2	"Add rooms and change measurements of walls according to your needs and necessary geometry. You can do the following with walls: move them, divide into parts or make them invisible. In order to change the geometry of a room use ""dots"" or drag them on each other and this way connect them."	"NL Add rooms and change measurements of walls according to your needs and necessary geometry. You can do the following with walls: move them, divide into parts or make them invisible. In order to change the geometry of a room use ""dots"" or drag them on each other and this way connect them."	"Add rooms and change measurements of walls according to your needs and necessary geometry. You can do the following with walls: move them, divide into parts or make them invisible. In order to change the geometry of a room use ""dots"" or drag them on each other and this way connect them."
